City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Nome,US,2022-07-14 15:57:26,64.5011,-165.4064,48.27,100,100,0.0
160,Danilovka,RU,2022-07-14 16:01:56,50.3557,44.1168,69.37,63,66,9.15
161,Balkhash,KZ,2022-07-14 16:01:56,46.844,74.9804,76.01,33,0,2.73
162,Constitucion,CL,2022-07-14 16:01:57,-35.3333,-72.4167,46.53,80,96,9.13
163,Magaria,NE,2022-07-14 16:01:57,12.9983,8.9099,97.12,28,90,13.38
164,Gold Coast,AU,2022-07-14 16:00:28,-28.0,153.4333,59.07,84,100,13.8
165,Peleduy,RU,2022-07-14 16:01:58,59.6289,112.7406,61.74,87,68,1.63
166,Arkadelphia,US,2022-07-14 16:01:58,34.1209,-93.0538,91.18,74,58,2.75
167,Bandarbeyla,SO,2022-07-14 16:01:59,9.4942,50.8122,78.76,79,79,32.91
168,Lorengau,PG,2022-07-14 16:01:39,-2.0226,147.2712,81.41,75,100,3.0
169,Yuli,NG,2022-07-14 16:01:59,9.6989,10.2744,88.3,52,50,7.25
170,Madang,PG,2022-07-14 16:02:00,-5.2246,145.7966,77.9,90,99,5.75
171,Pierre,US,2022-07-14 16:02:00,44.3683,-100.351,84.06,59,28,5.99
172,Torbay,CA,2022-07-14 16:02:01,47.6666,-52.7314,77.76,70,1,5.99
173,Hami,CN,2022-07-14 16:01:29,42.8,93.45,83.1,19,43,13.24
174,Faanui,PF,2022-07-14 16:02:02,-16.4833,-151.75,77.36,74,45,25.05
175,Hermanus,ZA,2022-07-14 15:57:04,-34.4187,19.2345,58.8,80,35,3.74
176,Sangar,RU,2022-07-14 16:02:02,63.9242,127.4739,60.26,95,95,2.17
177,Portland,US,2022-07-14 15:58:59,45.5234,-122.6762,66.81,74,0,5.01
178,Kieta,PG,2022-07-14 16:02:03,-6.2167,155.6333,77.79,85,80,5.59
179,Pustoshka,RU,2022-07-14 16:02:04,56.3355,29.369,63.79,84,63,7.76
180,Saint-Philippe,RE,2022-07-14 16:02:04,-21.3585,55.7679,71.19,80,67,12.28
181,Souillac,MU,2022-07-14 16:02:05,-20.5167,57.5167,70.05,74,13,14.16
182,Manzil Salim,TN,2022-07-14 16:03:05,35.8567,8.4765,91.22,17,0,9.17
183,Camacha,PT,2022-07-14 15:59:21,33.0833,-16.3333,71.02,68,20,11.5
184,Chuy,UY,2022-07-14 16:03:06,-33.6971,-53.4616,61.68,79,75,11.43
185,Plainview,US,2022-07-14 15:59:00,40.7765,-73.4673,86.67,62,48,4.0
186,Atambua,ID,2022-07-14 16:03:07,-9.1061,124.8925,67.41,82,14,5.84
187,Kupang,ID,2022-07-14 16:01:10,-10.1667,123.5833,73.62,73,5,11.63
188,Akureyri,IS,2022-07-14 16:03:08,65.6835,-18.0878,53.73,68,90,3.74
189,Pevek,RU,2022-07-14 16:03:08,69.7008,170.3133,33.71,85,7,13.29
190,Castro,BR,2022-07-14 16:01:22,-24.7911,-50.0119,70.43,55,94,13.51
191,Aitape,PG,2022-07-14 16:00:46,-3.1374,142.3475,77.05,89,85,2.33
192,Katsuura,JP,2022-07-14 16:03:09,35.1333,140.3,74.84,93,100,6.78
193,Aykhal,RU,2022-07-14 16:03:09,66.0,111.5,51.44,67,100,7.11
194,Xining,CN,2022-07-14 16:03:10,36.6167,101.7667,64.08,91,100,4.41
195,Bubaque,GW,2022-07-14 16:03:10,11.2833,-15.8333,80.28,80,90,9.17
196,Katangli,RU,2022-07-14 16:03:10,51.7102,143.2326,50.22,99,100,11.72
197,Kahului,US,2022-07-14 16:03:11,20.8947,-156.47,77.85,79,20,13.8
198,Tete,MZ,2022-07-14 15:58:50,-16.1564,33.5867,74.73,38,4,2.93
199,Bengkulu,ID,2022-07-14 16:00:25,-3.8004,102.2655,76.91,93,99,5.39
200,Tabou,CI,2022-07-14 16:00:37,4.423,-7.3528,77.47,76,100,9.04
201,La Ronge,CA,2022-07-14 16:00:21,55.1001,-105.2842,67.35,38,0,10.36
202,Karlskoga,SE,2022-07-14 16:03:12,59.3267,14.5239,65.52,55,95,6.04
203,Lumeje,AO,2022-07-14 16:03:13,-11.55,20.7833,75.63,24,3,4.83
204,Honiara,SB,2022-07-14 16:03:13,-9.4333,159.95,74.97,79,79,3.6
205,Tucumcari,US,2022-07-14 16:03:13,35.1717,-103.725,89.44,31,0,9.22
206,Ciudad Bolivar,VE,2022-07-14 16:03:14,8.1222,-63.5497,87.3,54,25,6.85
207,Makakilo City,US,2022-07-14 16:02:14,21.3469,-158.0858,76.57,76,100,17.38
208,Acarau,BR,2022-07-14 16:03:14,-2.8856,-40.12,86.02,57,8,15.61
209,Phan Thiet,VN,2022-07-14 16:03:15,10.9333,108.1,79.57,84,100,10.54
210,Jalu,LY,2022-07-14 16:03:15,29.0331,21.5482,92.93,21,0,14.18
211,Porto Novo,BJ,2022-07-14 16:03:16,6.4965,2.6036,77.49,83,100,10.65
212,Luderitz,NA,2022-07-14 16:03:16,-26.6481,15.1594,66.34,48,0,16.24
213,Biak,ID,2022-07-14 16:03:17,-0.9131,122.8766,74.35,92,100,5.66
214,Longyearbyen,SJ,2022-07-14 16:03:17,78.2186,15.6401,55.24,71,0,5.75
215,Kawalu,ID,2022-07-14 16:03:18,-7.3817,108.2082,73.27,98,98,2.01
216,Zabaykalsk,RU,2022-07-14 16:03:18,49.6333,117.3167,60.08,94,100,4.29
217,Point Pedro,LK,2022-07-14 16:03:19,9.8167,80.2333,83.21,74,72,23.91
218,Gimbi,ET,2022-07-14 16:00:16,9.1667,35.8333,56.3,97,100,3.06
219,Udachnyy,RU,2022-07-14 16:03:20,66.4167,112.4,53.53,66,100,7.47
220,Deputatskiy,RU,2022-07-14 16:03:20,69.3,139.9,44.62,91,23,4.18
221,Broome,US,2022-07-14 16:03:21,42.2506,-75.833,74.46,69,75,7.0
222,Cidreira,BR,2022-07-14 16:03:22,-30.1811,-50.2056,58.59,98,100,11.72
223,Puerto Escondido,MX,2022-07-14 16:03:22,15.85,-97.0667,85.03,65,100,6.91
224,Correia Pinto,BR,2022-07-14 16:03:22,-27.5847,-50.3611,52.95,99,100,4.54
225,Nishihara,JP,2022-07-14 16:03:23,26.1842,127.7558,83.68,94,100,6.91
226,Anloga,GH,2022-07-14 16:03:15,5.7947,0.8973,77.23,83,79,14.94
227,Legnica,PL,2022-07-14 15:58:51,51.2101,16.1619,76.78,40,69,12.82
228,Kulu,TR,2022-07-14 16:03:24,39.0951,33.0799,78.64,25,0,17.16
229,Santa Cruz,BO,2022-07-14 16:00:05,-17.8,-63.1667,79.63,53,99,20.11
230,Esperance,AU,2022-07-14 16:04:24,-33.8667,121.9,60.19,86,71,15.32
231,Margate,GB,2022-07-14 16:01:43,51.3813,1.3862,74.1,69,42,5.01
232,Merauke,ID,2022-07-14 16:04:25,-8.4667,140.3333,74.1,78,73,15.75
