City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Faanui,PF,-16.4833,-151.75,77.99,60,99,23.22,overcast clouds
162,Saint George,US,37.1041,-113.5841,102.43,23,20,23.02,few clouds
163,Mahebourg,MU,-20.4081,57.7,70.25,94,75,9.22,broken clouds
164,Porto Novo,BJ,6.4965,2.6036,75.88,87,99,7.58,overcast clouds
165,Victor Harbor,AU,-35.5667,138.6167,45.68,83,8,6.82,clear sky
166,Byron Bay,AU,-28.65,153.6167,52.95,80,92,13.31,overcast clouds
167,Brae,GB,60.3964,-1.353,51.85,91,81,11.92,broken clouds
168,Yaan,NG,7.3833,8.5667,72.34,94,21,5.14,light rain
169,Klaksvik,FO,62.2266,-6.589,49.12,82,85,12.39,overcast clouds
170,Ixtapa,MX,20.7,-105.2,88.23,74,40,12.66,scattered clouds
171,Kodiak,US,57.79,-152.4072,60.31,77,100,4.61,overcast clouds
172,Lebu,CL,-37.6167,-73.65,44.26,81,100,7.29,light rain
173,Ushibuka,JP,32.1906,130.0228,80.82,88,96,6.4,overcast clouds
174,Puerto Ayora,EC,-0.7393,-90.3518,76.96,91,77,11.01,broken clouds
175,Berlevag,NO,70.8578,29.0864,57.0,93,100,14.97,light rain
176,Lompoc,US,34.6391,-120.4579,90.79,71,0,18.41,clear sky
177,Garowe,SO,8.4054,48.4845,79.3,62,93,25.5,overcast clouds
178,Sao Filipe,CV,14.8961,-24.4956,75.07,77,10,8.81,clear sky
179,Muzhi,RU,65.3667,64.6667,61.56,89,27,3.42,scattered clouds
180,Esperance,AU,-33.8667,121.9,57.79,80,18,20.07,few clouds
181,Houston,US,29.7633,-95.3633,100.22,59,100,15.01,thunderstorm
182,Vila Velha,BR,-20.3297,-40.2925,69.75,96,75,2.3,broken clouds
183,Cidreira,BR,-30.1811,-50.2056,60.89,96,100,15.46,moderate rain
184,Narsaq,GL,60.9167,-46.05,61.02,60,100,6.78,overcast clouds
185,Nicoya,CR,10.1483,-85.452,79.99,85,77,3.04,broken clouds
186,Orhei,MD,47.3831,28.8231,67.78,49,31,2.51,scattered clouds
187,Mokolo,CM,10.7398,13.8019,73.31,73,42,2.77,scattered clouds
188,Dickinson,US,29.4608,-95.0513,93.13,65,40,19.57,thunderstorm
189,Kirakira,SB,-10.4544,161.9205,81.43,75,29,4.45,scattered clouds
190,Nikolskoye,RU,59.7035,30.7861,58.91,95,99,4.07,overcast clouds
191,East London,ZA,-33.0153,27.9116,59.38,68,3,12.28,clear sky
192,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,88,0,16.11,clear sky
193,Sisimiut,GL,66.9395,-53.6735,50.94,58,1,15.41,clear sky
194,Belmonte,BR,-15.8631,-38.8828,72.91,79,18,7.9,few clouds
