City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
115,Dingle,PH,75.97,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
116,Djibo,BF,92.55,light rain,14.1022,-1.6306,Centre Des Ressources DPENA
117,Muisne,EC,75.51,overcast clouds,0.6,-80.0333,Quinta Samay
118,Mpulungu,ZM,70.68,clear sky,-8.7623,31.1141,Chela moche guest house
119,Ngunguru,NZ,56.03,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
120,Lakes Entrance,AU,45.16,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
122,Mayo,US,91.51,clear sky,38.8876,-76.5119,Resorts Resource Group International
123,Elizabeth City,US,89.02,scattered clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
124,Khandyga,RU,69.67,overcast clouds,62.6667,135.6,Apel'sin
125,Kapaa,US,82.72,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
126,Ilulissat,GL,47.1,clear sky,69.2167,-51.1,Hotel Arctic
127,Quatre Cocos,MU,70.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
129,Tomatlan,MX,88.05,scattered clouds,19.9333,-105.25,El Salvial
130,Saint-Paul,RE,67.35,light rain,-21.0096,55.2707,Boucan Canot
131,Bengkulu,ID,76.15,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
132,Cururupu,BR,74.32,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
133,Norman Wells,CA,53.64,overcast clouds,65.282,-126.8329,Heritage Hotel
134,Sambava,MG,66.74,broken clouds,-14.2667,50.1667,Melrose
135,Katsuura,JP,76.08,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
137,Grand-Lahou,CI,75.76,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
138,Tasiilaq,GL,48.36,overcast clouds,65.6145,-37.6368,The Red House
139,San Jose,US,91.69,few clouds,37.3394,-121.895,The Westin San Jose
140,Ust-Ishim,RU,55.24,scattered clouds,57.6935,71.1665,"Velichko T.p., Gostinitsa"
141,Menongue,AO,51.73,clear sky,-14.6585,17.691,Ritz Lauca
142,Zhigansk,RU,55.08,broken clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
143,Mount Gambier,AU,44.87,broken clouds,-37.8333,140.7667,The Commodore
144,Nhulunbuy,AU,70.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
145,Yellowknife,CA,66.72,light intensity shower rain,62.456,-114.3525,The Explorer Hotel
146,Salalah,OM,77.41,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
147,Pevek,RU,33.84,clear sky,69.7008,170.3133,Severnoye Zoloto
148,Matamoros,MX,93.31,broken clouds,25.5333,-103.25,Quinta Belem
149,Deputatskiy,RU,58.39,broken clouds,69.3,139.9,Baza Otdykha
150,Riyadh,SA,93.34,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
152,Marawi,PH,68.49,broken clouds,7.9986,124.2928,Derogongan Residence
153,Setermoen,NO,54.43,light rain,68.861,18.3486,Room4You
154,Tuktoyaktuk,CA,39.2,broken clouds,69.4541,-133.0374,End of The Road Ltd.
155,Kavieng,PG,81.97,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
156,Gadwal,IN,75.63,overcast clouds,16.2333,77.8,MS RESIDENCY
158,Erenhot,CN,75.49,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
159,Pafos,CY,78.58,clear sky,34.7667,32.4167,Elysium Hotel
160,Butaritari,KI,81.82,light rain,3.0707,172.7902,Isles Sunset Lodge
161,Faanui,PF,77.99,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
163,Mahebourg,MU,70.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
164,Porto Novo,BJ,75.88,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
165,Victor Harbor,AU,45.68,clear sky,-35.5667,138.6167,McCracken Country Club
166,Byron Bay,AU,52.95,overcast clouds,-28.65,153.6167,Backpackers Inn
167,Brae,GB,51.85,broken clouds,60.3964,-1.353,Busta House Hotel
169,Klaksvik,FO,49.12,overcast clouds,62.2266,-6.589,Airbnb rooms
170,Ixtapa,MX,88.23,scattered clouds,20.7,-105.2,hotel la terminal
171,Kodiak,US,60.31,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
172,Lebu,CL,44.26,light rain,-37.6167,-73.65,Hostal Las Lilas
